Id,Name,Unit Price,Quantity,Paid Amount,Change Dispensed,RM20 left,RM10 left,RM5 left,RM1 left,RM0.5 left,RM0.2 left,RM0.1 left
1,Lychee Supremo,0.8,1,0.8,0,3,7,9,0,12,1,18
2,Cappacino Premium,20,1,20,0,3,9,9,0,12,1,18
3,Can of air,99,2,200,2,12,11,9,15,12,4,18
4,Tem Peh Juice,1,4,4.2,0.2,12,11,9,15,13,16,29
5,Cappacino Premium,20,1,20,0,13,11,9,15,13,16,29
6,Tem Peh Juice,1,1,5,0,0,0,0,2,2,20,0
7,Tem Peh Juice,1,1,5,4,0,0,1,0,0,15,0
8,Sky Juice,1.2,2,2.4,0,0,0,1,0,0,15,0
9,Apple Berry Juice,1,3,3,0,0,0,1,2,2,15,0
10,Livita Asli,2.5,2,10,5,0,1,0,2,2,15,0
11,Bamboo juice,1.3,1,1.5,0.2,0,1,0,2,3,16,6
12,Sky Juice,1.2,2,5,2.6,0,1,1,0,2,16,5
13,Cappacino Premium,20,1,20.1,0.1,0,1,4,4,3,18,6
14,Papaya Leaf Juice,1.2,2,20,17.6,1,0,3,2,2,18,5
15,Apple Berry Juice,1,1,1,0,1,0,3,3,2,18,5
16,Lychee Supremo,3.2,1,20,16.8,2,2,2,2,1,17,4
17,Apple Berry Juice,1,2,2,0,2,2,2,2,5,17,4
18,Tem Peh Juice,1,1,12,11,2,2,2,1,9,17,4
19,Tem Peh Juice,1,1,10,9,2,3,1,0,3,17,4
20,Tem Peh Juice,1,1,1,0,2,3,1,0,5,17,4
21,Tem Peh Juice,1,1,1.1,0.1,2,3,1,0,7,17,4
22,Tem Peh Juice,1,1,1,0,2,3,1,1,7,17,4
23,Tem Peh Juice,1,1,20.4,19.4,3,2,0,0,1,15,8
24,Papaya Leaf Juice,1.2,1,5,3.8,3,2,1,0,0,0,5
25,Bamboo juice,1.3,1,1.4,0.1,3,2,1,0,0,7,4
26,Livita Asli,2.5,2,5,0,3,2,1,0,0,7,4
27,Tem Peh Juice,1,1,1,0,3,2,1,0,2,7,4
